"gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","contrast","comparison_type","method"
"Mcm3","NK_cells",-0.683,6.04,10.3,0.00784,0.0555,0.0584,"WB","Compartment","muscat_edgeR"
"Gm4956","NK_cells",1.25,7.68,51.5,0.0000138,0.00111,0.00227,"WB","Compartment","muscat_edgeR"
"Khdc1a","NK_cells",0.971,5.96,11.1,0.00624,0.0485,0.0517,"WB","Compartment","muscat_edgeR"
"Kcnq5","NK_cells",-0.366,9.34,1.93,0.191,0.386,0.371,"WB","Compartment","muscat_edgeR"
"Ogfrl1","NK_cells",-2.47,3.9,20.6,0.000749,0.0131,0.0179,"WB","Compartment","muscat_edgeR"
"Smap1","NK_cells",-0.0696,6.89,0.0421,0.841,0.915,0.913,"WB","Compartment","muscat_edgeR"
"Sdhaf4","NK_cells",-0.0748,4.71,0.0392,0.847,0.918,0.916,"WB","Compartment","muscat_edgeR"
"Lmbrd1","NK_cells",0.675,6.55,10.8,0.00675,0.0511,0.0541,"WB","Compartment","muscat_edgeR"
"Phf3","NK_cells",-0.0245,7.73,0.0184,0.894,0.943,0.943,"WB","Compartment","muscat_edgeR"
"Prim2","NK_cells",-1.07,5.21,12.7,0.00417,0.0379,0.0418,"WB","Compartment","muscat_edgeR"
"Zfp451","NK_cells",-0.00634,5.78,0.000676,0.98,0.989,0.989,"WB","Compartment","muscat_edgeR"
"Ccdc115","NK_cells",0.331,5.15,1.13,0.31,0.513,0.5,"WB","Compartment","muscat_edgeR"
"Imp4","NK_cells",0.386,5.96,2.98,0.111,0.277,0.265,"WB","Compartment","muscat_edgeR"
"Ptpn18","NK_cells",0.193,8.74,0.809,0.387,0.586,0.574,"WB","Compartment","muscat_edgeR"
"Fam168b","NK_cells",-0.146,6.42,0.251,0.626,0.776,0.769,"WB","Compartment","muscat_edgeR"
"Plekhb2","NK_cells",0.449,5.13,1.47,0.249,0.452,0.438,"WB","Compartment","muscat_edgeR"
"Uggt1","NK_cells",0.0126,6.76,0.00302,0.957,0.977,0.978,"WB","Compartment","muscat_edgeR"
"Neurl3","NK_cells",0.289,7.72,2.07,0.177,0.368,0.355,"WB","Compartment","muscat_edgeR"
"Arid5a","NK_cells",0.283,6.06,1.56,0.236,0.438,0.423,"WB","Compartment","muscat_edgeR"
"Kansl3","NK_cells",0.443,5.87,3.85,0.0742,0.216,0.208,"WB","Compartment","muscat_edgeR"
"Sema4c","NK_cells",1.24,5.3,15.7,0.00207,0.0241,0.0297,"WB","Compartment","muscat_edgeR"
"Cox5b","NK_cells",0.667,7.73,9.21,0.0108,0.068,0.0694,"WB","Compartment","muscat_edgeR"
"Actr1b","NK_cells",0.713,5.65,8.45,0.0136,0.0771,0.0787,"WB","Compartment","muscat_edgeR"
"Zap70","NK_cells",0.074,7.09,0.192,0.669,0.805,0.802,"WB","Compartment","muscat_edgeR"
"Tmem131","NK_cells",-0.755,6.8,11.9,0.00504,0.0428,0.0464,"WB","Compartment","muscat_edgeR"
"Inpp4a","NK_cells",-0.298,5.78,1.13,0.309,0.513,0.5,"WB","Compartment","muscat_edgeR"
"Coa5","NK_cells",0.0917,5.64,0.124,0.731,0.845,0.843,"WB","Compartment","muscat_edgeR"
"Unc50","NK_cells",0.77,5.69,7.91,0.0162,0.0859,0.0867,"WB","Compartment","muscat_edgeR"
"Mgat4a","NK_cells",-1.13,5.82,22.2,0.000558,0.0108,0.0152,"WB","Compartment","muscat_edgeR"
"Tsga10","NK_cells",-0.237,5.01,0.453,0.514,0.693,0.684,"WB","Compartment","muscat_edgeR"
"Mitd1","NK_cells",-0.659,4.71,3.47,0.0882,0.24,0.23,"WB","Compartment","muscat_edgeR"
"Mrpl30","NK_cells",0.137,6.72,0.537,0.478,0.662,0.654,"WB","Compartment","muscat_edgeR"
"Txndc9","NK_cells",0.00789,6.04,0.000982,0.976,0.988,0.987,"WB","Compartment","muscat_edgeR"
"Eif5b","NK_cells",0.3,7.08,2.09,0.175,0.365,0.352,"WB","Compartment","muscat_edgeR"
"Rev1","NK_cells",-0.788,4.86,7.14,0.0209,0.101,0.0994,"WB","Compartment","muscat_edgeR"
"Aff3","NK_cells",-1.91,8.7,69.7,0.00000314,0.000384,0.000959,"WB","Compartment","muscat_edgeR"
"Pdcl3","NK_cells",0.326,6.02,2.01,0.183,0.375,0.361,"WB","Compartment","muscat_edgeR"
"Rpl31","NK_cells",0.362,8.54,2.15,0.17,0.357,0.345,"WB","Compartment","muscat_edgeR"
"Cnot11","NK_cells",0.0967,5.58,0.175,0.683,0.816,0.811,"WB","Compartment","muscat_edgeR"
"Rnf149","NK_cells",-1.36,5.05,25.1,0.000341,0.00786,0.0119,"WB","Compartment","muscat_edgeR"
"Map4k4","NK_cells",-0.504,7.29,4.14,0.0656,0.202,0.193,"WB","Compartment","muscat_edgeR"
"Il1r2","NK_cells",-0.738,4.56,0.586,0.459,0.649,0.638,"WB","Compartment","muscat_edgeR"
"Il18r1","NK_cells",-0.338,8.72,2.3,0.157,0.342,0.328,"WB","Compartment","muscat_edgeR"
"Il18rap","NK_cells",0.172,9.17,1.54,0.239,0.441,0.427,"WB","Compartment","muscat_edgeR"
"Mrps9","NK_cells",-0.219,5.73,0.896,0.363,0.563,0.552,"WB","Compartment","muscat_edgeR"
"Fhl2","NK_cells",1.05,5.4,13.5,0.00339,0.0334,0.0377,"WB","Compartment","muscat_edgeR"
"Nck2","NK_cells",-0.0154,5.86,0.00344,0.954,0.976,0.976,"WB","Compartment","muscat_edgeR"
"Uxs1","NK_cells",-0.569,4.69,2.62,0.132,0.308,0.296,"WB","Compartment","muscat_edgeR"
"Tpp2","NK_cells",0.378,7.62,3.84,0.0747,0.217,0.209,"WB","Compartment","muscat_edgeR"
"Tex30","NK_cells",0.985,5,4.83,0.0494,0.169,0.163,"WB","Compartment","muscat_edgeR"
"Wdr75","NK_cells",-0.208,5.5,0.813,0.386,0.584,0.573,"WB","Compartment","muscat_edgeR"
"Slc39a10","NK_cells",-0.274,4.8,0.568,0.466,0.653,0.644,"WB","Compartment","muscat_edgeR"
"Nabp1","NK_cells",-0.173,7.86,0.841,0.378,0.578,0.566,"WB","Compartment","muscat_edgeR"
"Stat4","NK_cells",-0.247,9.31,2.91,0.115,0.284,0.272,"WB","Compartment","muscat_edgeR"
"Stat1","NK_cells",-0.624,7.79,7.02,0.0218,0.103,0.102,"WB","Compartment","muscat_edgeR"
"Gls","NK_cells",0.0455,7.53,0.0302,0.865,0.929,0.926,"WB","Compartment","muscat_edgeR"
"Nab1","NK_cells",0.0961,6.95,0.198,0.665,0.803,0.798,"WB","Compartment","muscat_edgeR"
"Mfsd6","NK_cells",-0.844,5.97,9,0.0115,0.0703,0.0719,"WB","Compartment","muscat_edgeR"
"Inpp1","NK_cells",0.0378,6.2,0.0346,0.856,0.923,0.921,"WB","Compartment","muscat_edgeR"
"Ormdl1","NK_cells",0.804,5,4.05,0.0683,0.206,0.198,"WB","Compartment","muscat_edgeR"
"Asnsd1","NK_cells",0.219,5.16,0.617,0.448,0.638,0.628,"WB","Compartment","muscat_edgeR"
"Stk17b","NK_cells",1.01,8.82,47.7,0.0000201,0.00146,0.00275,"WB","Compartment","muscat_edgeR"
"Ankrd44","NK_cells",0.165,9.63,1.34,0.271,0.475,0.461,"WB","Compartment","muscat_edgeR"
"Sf3b1","NK_cells",0.484,9.08,10.7,0.00696,0.052,0.0551,"WB","Compartment","muscat_edgeR"
"Coq10b","NK_cells",1.23,6.03,22.6,0.000524,0.0104,0.0148,"WB","Compartment","muscat_edgeR"
"Hspd1","NK_cells",0.521,7.88,6.3,0.0281,0.119,0.117,"WB","Compartment","muscat_edgeR"
"Hspe1","NK_cells",0.343,7.79,1.81,0.204,0.403,0.387,"WB","Compartment","muscat_edgeR"
"Mob4","NK_cells",0.72,6.89,14.4,0.00275,0.0296,0.0342,"WB","Compartment","muscat_edgeR"
"Bzw1","NK_cells",0.0357,7.88,0.0338,0.857,0.924,0.922,"WB","Compartment","muscat_edgeR"
"Clk1","NK_cells",0.646,7.78,17.4,0.0014,0.0189,0.0241,"WB","Compartment","muscat_edgeR"
"Ppil3","NK_cells",0.301,5.25,0.973,0.344,0.547,0.535,"WB","Compartment","muscat_edgeR"
"Orc2","NK_cells",-0.0445,5.1,0.0199,0.89,0.942,0.941,"WB","Compartment","muscat_edgeR"
"Ndufb3","NK_cells",0.396,6.11,1.32,0.274,0.478,0.464,"WB","Compartment","muscat_edgeR"
"Cflar","NK_cells",0.305,6.97,2.38,0.15,0.333,0.32,"WB","Compartment","muscat_edgeR"
"Casp8","NK_cells",-0.143,7.39,0.604,0.453,0.642,0.632,"WB","Compartment","muscat_edgeR"
"Trak2","NK_cells",0.168,6.23,0.48,0.502,0.683,0.673,"WB","Compartment","muscat_edgeR"
"Sumo1","NK_cells",0.391,7.24,4.5,0.0562,0.183,0.176,"WB","Compartment","muscat_edgeR"
"Nop58","NK_cells",-0.413,6.62,4.43,0.0579,0.187,0.179,"WB","Compartment","muscat_edgeR"
"Fam117b","NK_cells",0.782,6.51,5.55,0.037,0.141,0.138,"WB","Compartment","muscat_edgeR"
"Wdr12","NK_cells",-0.614,4.98,4.88,0.0483,0.167,0.161,"WB","Compartment","muscat_edgeR"
"Nbeal1","NK_cells",-0.233,5.99,1.26,0.285,0.489,0.476,"WB","Compartment","muscat_edgeR"
"Cyp20a1","NK_cells",0.407,4.81,0.695,0.421,0.615,0.604,"WB","Compartment","muscat_edgeR"
"Abi2","NK_cells",0.221,4.95,0.442,0.519,0.696,0.688,"WB","Compartment","muscat_edgeR"
"Raph1","NK_cells",-0.242,5.8,0.824,0.383,0.582,0.57,"WB","Compartment","muscat_edgeR"
"Cd28","NK_cells",-0.111,5.99,0.149,0.707,0.831,0.827,"WB","Compartment","muscat_edgeR"
"Ino80d","NK_cells",-0.245,6.49,1.8,0.206,0.405,0.39,"WB","Compartment","muscat_edgeR"
"Ndufs1","NK_cells",-0.347,6.12,2.9,0.116,0.284,0.272,"WB","Compartment","muscat_edgeR"
"Eef1b2","NK_cells",-0.481,9.56,10.5,0.00749,0.0542,0.0571,"WB","Compartment","muscat_edgeR"
"Klf7","NK_cells",0.473,6.18,4.05,0.068,0.206,0.198,"WB","Compartment","muscat_edgeR"
"Creb1","NK_cells",-0.347,7.21,3.32,0.0944,0.251,0.24,"WB","Compartment","muscat_edgeR"
"Plekhm3","NK_cells",-0.537,5.63,2.71,0.126,0.299,0.288,"WB","Compartment","muscat_edgeR"
"Pikfyve","NK_cells",-0.866,4.87,5.86,0.0331,0.132,0.129,"WB","Compartment","muscat_edgeR"
"Kansl1l","NK_cells",0.187,5.24,0.447,0.517,0.695,0.686,"WB","Compartment","muscat_edgeR"
"Acadl","NK_cells",0.0809,6.78,0.19,0.671,0.807,0.803,"WB","Compartment","muscat_edgeR"
"Lancl1","NK_cells",-0.332,4.77,1.05,0.327,0.53,0.517,"WB","Compartment","muscat_edgeR"
"Ikzf2","NK_cells",-1.54,5.07,20,0.000833,0.0139,0.0189,"WB","Compartment","muscat_edgeR"
"Spag16","NK_cells",0.483,5.44,2.84,0.119,0.289,0.277,"WB","Compartment","muscat_edgeR"
"Atic","NK_cells",-0.555,6.04,6.22,0.0289,0.121,0.119,"WB","Compartment","muscat_edgeR"
"Fn1","NK_cells",-4.62,5.69,84.8,0.00000117,0.000237,0.000604,"WB","Compartment","muscat_edgeR"
"Xrcc5","NK_cells",-0.898,4.98,8.95,0.0117,0.071,0.0726,"WB","Compartment","muscat_edgeR"
"Rpl37a","NK_cells",0.567,9.11,4.05,0.0681,0.206,0.198,"WB","Compartment","muscat_edgeR"
"Cxcr2","NK_cells",-3.3,4.37,10.6,0.00725,0.0534,0.0564,"WB","Compartment","muscat_edgeR"
"Arpc2","NK_cells",0.676,9.63,22.5,0.000527,0.0104,0.0148,"WB","Compartment","muscat_edgeR"
"Aamp","NK_cells",0.317,6.57,2.51,0.14,0.319,0.307,"WB","Compartment","muscat_edgeR"
"Pnkd","NK_cells",0.528,5.32,3.56,0.0847,0.234,0.225,"WB","Compartment","muscat_edgeR"
"Ctdsp1","NK_cells",0.251,5.98,1.29,0.278,0.482,0.469,"WB","Compartment","muscat_edgeR"
"Usp37","NK_cells",-0.386,6.09,2.83,0.12,0.291,0.279,"WB","Compartment","muscat_edgeR"
"Cnot9","NK_cells",-0.268,4.7,0.567,0.467,0.653,0.644,"WB","Compartment","muscat_edgeR"
"Ttll4","NK_cells",-1.17,4.87,13.8,0.00318,0.0318,0.0363,"WB","Compartment","muscat_edgeR"
"Cnppd1","NK_cells",0.497,6.44,4.43,0.058,0.187,0.179,"WB","Compartment","muscat_edgeR"
"Retreg2","NK_cells",0.622,5.7,4.28,0.0616,0.194,0.186,"WB","Compartment","muscat_edgeR"
"Stk16","NK_cells",-0.313,5.65,1.65,0.224,0.425,0.41,"WB","Compartment","muscat_edgeR"
"Tuba4a","NK_cells",0.299,6.53,1.6,0.231,0.433,0.418,"WB","Compartment","muscat_edgeR"
"Dnpep","NK_cells",-0.0498,5.29,0.025,0.877,0.934,0.933,"WB","Compartment","muscat_edgeR"
"Chpf","NK_cells",0.612,4.84,2.62,0.133,0.308,0.297,"WB","Compartment","muscat_edgeR"
"Farsb","NK_cells",-0.183,5.46,0.571,0.465,0.652,0.643,"WB","Compartment","muscat_edgeR"
"Ap1s3","NK_cells",-0.684,4.4,2.55,0.138,0.315,0.304,"WB","Compartment","muscat_edgeR"
"Wdfy1","NK_cells",-0.292,5.67,1.2,0.296,0.499,0.486,"WB","Compartment","muscat_edgeR"
"Cul3","NK_cells",-0.142,7.52,0.42,0.53,0.706,0.697,"WB","Compartment","muscat_edgeR"
"Dock10","NK_cells",0.288,9.9,4.52,0.0557,0.182,0.175,"WB","Compartment","muscat_edgeR"
"Rhbdd1","NK_cells",-1.13,5.53,15,0.00236,0.0266,0.0316,"WB","Compartment","muscat_edgeR"
"Mff","NK_cells",0.312,6.27,2.21,0.164,0.35,0.337,"WB","Compartment","muscat_edgeR"
"Agfg1","NK_cells",-0.612,6.5,4.43,0.0579,0.187,0.179,"WB","Compartment","muscat_edgeR"
"Trip12","NK_cells",0.0573,8.14,0.117,0.738,0.85,0.847,"WB","Compartment","muscat_edgeR"
"Sp110","NK_cells",0.0636,8.29,0.116,0.74,0.851,0.848,"WB","Compartment","muscat_edgeR"
"Sp140","NK_cells",-0.325,6.38,2.03,0.181,0.373,0.359,"WB","Compartment","muscat_edgeR"
"Sp100","NK_cells",0.172,9.49,1.03,0.331,0.534,0.521,"WB","Compartment","muscat_edgeR"
"A630001G21Rik","NK_cells",-0.873,6.16,14.3,0.00282,0.03,0.0346,"WB","Compartment","muscat_edgeR"
"Cab39","NK_cells",-0.0471,7.59,0.04,0.845,0.918,0.915,"WB","Compartment","muscat_edgeR"
"Itm2c","NK_cells",0.384,6.31,3.6,0.0829,0.231,0.222,"WB","Compartment","muscat_edgeR"
"Psmd1","NK_cells",-0.184,6.76,1.01,0.335,0.538,0.525,"WB","Compartment","muscat_edgeR"
"Gm16341","NK_cells",-0.9,5.98,8.45,0.0136,0.0771,0.0787,"WB","Compartment","muscat_edgeR"
"Ncl","NK_cells",-0.164,9.32,0.896,0.363,0.563,0.552,"WB","Compartment","muscat_edgeR"
"Ptma","NK_cells",0.304,10.7,3.2,0.0997,0.258,0.248,"WB","Compartment","muscat_edgeR"
"Pde6d","NK_cells",-0.574,5.13,3.6,0.083,0.231,0.222,"WB","Compartment","muscat_edgeR"
"Cops7b","NK_cells",-0.266,4.59,0.458,0.512,0.691,0.682,"WB","Compartment","muscat_edgeR"
"Dis3l2","NK_cells",-0.481,6.35,6.41,0.027,0.116,0.115,"WB","Compartment","muscat_edgeR"
"Eif4e2","NK_cells",0.188,6.65,0.782,0.395,0.593,0.581,"WB","Compartment","muscat_edgeR"
"Gigyf2","NK_cells",-0.206,7.06,1.19,0.297,0.5,0.487,"WB","Compartment","muscat_edgeR"
"Inpp5d","NK_cells",0.349,8.5,6.33,0.0278,0.118,0.116,"WB","Compartment","muscat_edgeR"
"Atg16l1","NK_cells",0.0941,6.03,0.173,0.685,0.817,0.812,"WB","Compartment","muscat_edgeR"
"Dgkd","NK_cells",-0.39,7.35,4.29,0.0614,0.194,0.186,"WB","Compartment","muscat_edgeR"
"Usp40","NK_cells",-0.914,5.44,13.4,0.00344,0.0337,0.0379,"WB","Compartment","muscat_edgeR"
"Ugt1a7c","NK_cells",0.232,4.76,0.416,0.531,0.707,0.698,"WB","Compartment","muscat_edgeR"
"Hjurp","NK_cells",-1.41,5.19,20.3,0.0008,0.0137,0.0185,"WB","Compartment","muscat_edgeR"
"Arl4c","NK_cells",-0.252,7,1.37,0.266,0.47,0.456,"WB","Compartment","muscat_edgeR"
"Cops8","NK_cells",0.964,5.38,7.32,0.0198,0.0976,0.0963,"WB","Compartment","muscat_edgeR"
"Lrrfip1","NK_cells",0.387,8.77,7.13,0.021,0.101,0.0996,"WB","Compartment","muscat_edgeR"
"Ramp1","NK_cells",-2.28,4.15,23.2,0.000469,0.00973,0.014,"WB","Compartment","muscat_edgeR"
"Ube2f","NK_cells",0.128,5.59,0.247,0.628,0.777,0.77,"WB","Compartment","muscat_edgeR"
"Scly","NK_cells",0.0268,5.71,0.00819,0.929,0.962,0.961,"WB","Compartment","muscat_edgeR"
"Ilkap","NK_cells",0.0747,6.14,0.111,0.745,0.854,0.851,"WB","Compartment","muscat_edgeR"
"Hes6","NK_cells",-0.454,5.56,2.21,0.164,0.35,0.338,"WB","Compartment","muscat_edgeR"
"Hdac4","NK_cells",-1.32,6.07,26.2,0.000288,0.00696,0.0109,"WB","Compartment","muscat_edgeR"
"Ndufa10","NK_cells",-0.00662,6.34,0.000836,0.977,0.988,0.988,"WB","Compartment","muscat_edgeR"
"Cops9","NK_cells",0.474,5.66,1.59,0.233,0.435,0.42,"WB","Compartment","muscat_edgeR"
"Gpc1","NK_cells",0.9,6.2,9.48,0.00996,0.0642,0.0664,"WB","Compartment","muscat_edgeR"
"Rnpepl1","NK_cells",-0.877,5.38,4.42,0.0581,0.187,0.18,"WB","Compartment","muscat_edgeR"
"Ppp1r7","NK_cells",-0.461,5.72,3.94,0.0716,0.211,0.204,"WB","Compartment","muscat_edgeR"
"Hdlbp","NK_cells",0.392,7.16,4.25,0.0625,0.195,0.188,"WB","Compartment","muscat_edgeR"
"Septin2","NK_cells",0.455,4.93,1.71,0.217,0.416,0.402,"WB","Compartment","muscat_edgeR"
"Stk25","NK_cells",0.511,5.46,3.15,0.102,0.263,0.252,"WB","Compartment","muscat_edgeR"
"Atg4b","NK_cells",0.443,5.46,3,0.11,0.276,0.264,"WB","Compartment","muscat_edgeR"
"Dtymk","NK_cells",-0.247,5.21,0.686,0.424,0.618,0.607,"WB","Compartment","muscat_edgeR"
"Ing5","NK_cells",0.205,4.91,0.242,0.632,0.78,0.773,"WB","Compartment","muscat_edgeR"
"Fam174a","NK_cells",0.66,5.79,7.8,0.0168,0.0878,0.0882,"WB","Compartment","muscat_edgeR"
"St8sia4","NK_cells",0.044,7.77,0.086,0.775,0.873,0.871,"WB","Compartment","muscat_edgeR"
"Macir","NK_cells",0.915,6.64,17.7,0.00132,0.018,0.0234,"WB","Compartment","muscat_edgeR"
"Ppip5k2","NK_cells",-0.662,5.96,6.12,0.03,0.124,0.122,"WB","Compartment","muscat_edgeR"
"Pam","NK_cells",-0.395,6.7,4.6,0.054,0.179,0.172,"WB","Compartment","muscat_edgeR"
"1810006J02Rik","NK_cells",1.4,5.2,19.7,0.000914,0.0146,0.0196,"WB","Compartment","muscat_edgeR"
"Pign","NK_cells",-0.728,5.12,5.85,0.0331,0.132,0.129,"WB","Compartment","muscat_edgeR"
"Relch","NK_cells",0.101,6.59,0.251,0.626,0.776,0.769,"WB","Compartment","muscat_edgeR"
"Zcchc2","NK_cells",0.333,5.97,1.77,0.21,0.409,0.394,"WB","Compartment","muscat_edgeR"
"Phlpp1","NK_cells",0.456,5.89,3.65,0.0811,0.228,0.219,"WB","Compartment","muscat_edgeR"
"Bcl2","NK_cells",-0.635,9.68,7.33,0.0196,0.0973,0.0959,"WB","Compartment","muscat_edgeR"
"Vps4b","NK_cells",-0.0721,6.9,0.129,0.726,0.843,0.84,"WB","Compartment","muscat_edgeR"
"Tsn","NK_cells",0.0672,7.06,0.127,0.728,0.844,0.841,"WB","Compartment","muscat_edgeR"
"Nifk","NK_cells",-0.622,5.17,4.61,0.0538,0.178,0.171,"WB","Compartment","muscat_edgeR"
"Clasp1","NK_cells",-0.732,6.24,11.3,0.00588,0.047,0.0504,"WB","Compartment","muscat_edgeR"
"Ptpn4","NK_cells",-0.414,7.48,6.71,0.0242,0.109,0.108,"WB","Compartment","muscat_edgeR"
"Tmem37","NK_cells",0.812,6.12,10.4,0.00753,0.0544,0.0573,"WB","Compartment","muscat_edgeR"
"Dbi","NK_cells",0.519,6.33,3.19,0.1,0.26,0.249,"WB","Compartment","muscat_edgeR"
"Insig2","NK_cells",0.49,4.81,1.82,0.203,0.402,0.386,"WB","Compartment","muscat_edgeR"
"Ccdc93","NK_cells",0.227,5.38,0.699,0.42,0.614,0.603,"WB","Compartment","muscat_edgeR"
"Ddx18","NK_cells",0.0806,5.78,0.11,0.746,0.855,0.852,"WB","Compartment","muscat_edgeR"
"Actr3","NK_cells",0.193,10.1,1.71,0.216,0.416,0.401,"WB","Compartment","muscat_edgeR"
"Mgat5","NK_cells",-0.0155,7.92,0.0047,0.946,0.972,0.972,"WB","Compartment","muscat_edgeR"
"Tmem163","NK_cells",-0.0935,7.44,0.117,0.738,0.85,0.847,"WB","Compartment","muscat_edgeR"
"Ccnt2","NK_cells",0.275,5.97,1.47,0.249,0.452,0.438,"WB","Compartment","muscat_edgeR"
"Rab3gap1","NK_cells",0.0453,6.31,0.05,0.827,0.907,0.905,"WB","Compartment","muscat_edgeR"
"R3hdm1","NK_cells",-0.0856,6.9,0.153,0.703,0.828,0.824,"WB","Compartment","muscat_edgeR"
"Ubxn4","NK_cells",0.639,7.84,12.1,0.00487,0.0418,0.0456,"WB","Compartment","muscat_edgeR"
"Mcm6","NK_cells",-0.726,7.15,13.4,0.00343,0.0337,0.0379,"WB","Compartment","muscat_edgeR"
"Dars","NK_cells",-0.478,6.64,5.2,0.0424,0.155,0.149,"WB","Compartment","muscat_edgeR"
"Cxcr4","NK_cells",0.219,6.98,0.304,0.592,0.753,0.744,"WB","Compartment","muscat_edgeR"
"Cd55","NK_cells",-0.098,6.23,0.0829,0.779,0.876,0.874,"WB","Compartment","muscat_edgeR"
"Mapkapk2","NK_cells",-0.797,6.82,6.87,0.023,0.106,0.105,"WB","Compartment","muscat_edgeR"
"Rassf5","NK_cells",0.474,6.82,7.28,0.0199,0.098,0.0968,"WB","Compartment","muscat_edgeR"
"Ikbke","NK_cells",-1.09,5.15,13.8,0.00318,0.0318,0.0363,"WB","Compartment","muscat_edgeR"
"Srgap2","NK_cells",-0.172,6.61,0.577,0.463,0.65,0.641,"WB","Compartment","muscat_edgeR"
"Ctse","NK_cells",0.0357,6.87,0.0345,0.856,0.923,0.921,"WB","Compartment","muscat_edgeR"
"Nucks1","NK_cells",-0.386,7.12,4.72,0.0513,0.173,0.167,"WB","Compartment","muscat_edgeR"
"Elk4","NK_cells",-0.4,7.26,5.67,0.0355,0.138,0.135,"WB","Compartment","muscat_edgeR"
"Rbbp5","NK_cells",-0.537,5.67,5.1,0.0442,0.158,0.153,"WB","Compartment","muscat_edgeR"
"Mdm4","NK_cells",0.031,7.1,0.0259,0.875,0.933,0.931,"WB","Compartment","muscat_edgeR"
"Ppp1r15b","NK_cells",0.52,6.8,4.17,0.0646,0.199,0.191,"WB","Compartment","muscat_edgeR"
"Snrpe","NK_cells",0.156,7.28,0.434,0.523,0.699,0.691,"WB","Compartment","muscat_edgeR"
"Zc3h11a","NK_cells",0.363,5.15,1.24,0.288,0.492,0.479,"WB","Compartment","muscat_edgeR"
"Lax1","NK_cells",-0.115,7.41,0.385,0.547,0.719,0.71,"WB","Compartment","muscat_edgeR"
"Atp2b4","NK_cells",0.443,6.95,3.41,0.0906,0.244,0.234,"WB","Compartment","muscat_edgeR"
"Btg2","NK_cells",0.942,8.79,35,0.000083,0.0032,0.00583,"WB","Compartment","muscat_edgeR"
"Chil1","NK_cells",-4.04,2.85,8.18,0.0148,0.081,0.0822,"WB","Compartment","muscat_edgeR"
"Tmem183a","NK_cells",0.533,5.51,2.38,0.15,0.333,0.32,"WB","Compartment","muscat_edgeR"
"Adipor1","NK_cells",0.497,7.18,5.9,0.0325,0.13,0.128,"WB","Compartment","muscat_edgeR"
"Klhl12","NK_cells",-0.0046,5.06,0.000161,0.99,0.996,0.995,"WB","Compartment","muscat_edgeR"
"Rabif","NK_cells",0.481,5.52,3.56,0.0846,0.234,0.224,"WB","Compartment","muscat_edgeR"
"Kdm5b","NK_cells",0.161,7.03,0.578,0.462,0.65,0.64,"WB","Compartment","muscat_edgeR"
"Ppp1r12b","NK_cells",-0.802,5.43,9.52,0.00984,0.0641,0.066,"WB","Compartment","muscat_edgeR"
"Ptpn7","NK_cells",0.0175,7.03,0.00995,0.922,0.957,0.958,"WB","Compartment","muscat_edgeR"
"Arl8a","NK_cells",1.1,5.31,4.64,0.0532,0.177,0.17,"WB","Compartment","muscat_edgeR"
